Size n,Time(microseconds):,Ratio:
10000,13121,1.3121
20000,25229,1.26145
30000,38699,1.28997
40000,49778,1.24445
50000,65124,1.30248
60000,78006,1.3001
70000,86893,1.24133
80000,97864,1.2233
90000,120184,1.33538
100000,134306,1.34306
110000,139929,1.27208
120000,150537,1.25448
130000,162626,1.25097
140000,174199,1.24428
150000,189162,1.26108
160000,196561,1.22851
170000,207530,1.22076
180000,242501,1.34723
190000,259835,1.36755
200000,271772,1.35886
210000,284043,1.35259
220000,297859,1.3539
230000,309484,1.34558
240000,320440,1.33517
250000,334590,1.33836
260000,343406,1.32079
270000,355714,1.31746
280000,366802,1.31001
290000,381057,1.31399
300000,396270,1.3209
310000,406888,1.31254
320000,420417,1.3138
330000,431955,1.30895
340000,490159,1.44164
350000,502155,1.43473
360000,516215,1.43393
370000,527559,1.42584
380000,539203,1.41896
390000,559436,1.43445
400000,569152,1.42288
410000,584495,1.4256
420000,603457,1.4368
430000,608356,1.41478
440000,624670,1.4197
450000,633710,1.40824
460000,642692,1.39716
470000,655989,1.39572
480000,667693,1.39103
490000,682078,1.392
500000,691389,1.38278
