Size n,Time(microseconds):,Ratio:
10000,8560,0.856
20000,17188,0.8594
30000,26831,0.894367
40000,33926,0.84815
50000,45313,0.90626
60000,53765,0.896083
70000,59463,0.849471
80000,66378,0.829725
90000,84119,0.934656
100000,92715,0.92715
110000,96923,0.881118
120000,104570,0.871417
130000,111629,0.858685
140000,118825,0.84875
150000,125923,0.839487
160000,133591,0.834944
170000,140601,0.827065
180000,168645,0.936917
190000,181072,0.953011
200000,180860,0.9043
210000,188576,0.897981
220000,196010,0.890955
230000,203795,0.886065
240000,211334,0.880558
250000,217902,0.871608
260000,225692,0.868046
270000,233359,0.864293
280000,240392,0.858543
290000,248172,0.855766
300000,255488,0.851627
310000,263438,0.8498
320000,270389,0.844966
330000,278307,0.843355
340000,325480,0.957294
350000,341750,0.976429
360000,350970,0.974917
370000,359276,0.971016
380000,366624,0.9648
390000,374851,0.961156
400000,382863,0.957157
410000,390124,0.951522
420000,398362,0.948481
430000,405530,0.943093
440000,413128,0.938927
450000,420146,0.933658
460000,428424,0.931357
470000,436567,0.928866
480000,439013,0.91461
490000,450612,0.919616
500000,456542,0.913084
