Size n,Time(microseconds):,Ratio:
10001,12779,1.27777
20001,24853,1.24259
30001,33570,1.11896
40001,49178,1.22942
50001,57032,1.14062
60001,68131,1.1355
70001,89081,1.27257
80001,95521,1.194
90001,108675,1.20749
100001,121255,1.21254
110001,128337,1.16669
120001,137331,1.14442
130001,146195,1.12457
140001,178151,1.2725
150001,180638,1.20425
160001,190082,1.18801
170001,199654,1.17443
180001,209957,1.16642
190001,219547,1.1555
200001,229087,1.14543
210001,238439,1.13542
220001,247854,1.1266
230001,257915,1.12136
240001,267451,1.11437
250001,277573,1.11029
260001,286444,1.1017
270001,342646,1.26905
280001,351680,1.256
290001,361767,1.24747
300001,371249,1.23749
310001,380614,1.22778
320001,390278,1.21961
330001,400035,1.21222
340001,409493,1.20439
350001,419741,1.19926
360001,429453,1.19292
370001,448099,1.21108
380001,458756,1.20725
390001,468167,1.20043
400001,478985,1.19746
410001,488169,1.19065
420001,496160,1.18133
430001,507417,1.18004
440001,516196,1.17317
450001,527498,1.17222
460001,536436,1.16616
470001,545880,1.16144
480001,555636,1.15757
490001,564205,1.15144
500001,576937,1.15387
