Size n,Time(microseconds):,Ratio:
10001,19242,1.92401
20001,20469,1.0234
30001,24467,0.815539
40001,36876,0.921877
50001,42467,0.849323
60001,49981,0.833003
70001,66744,0.953472
80001,71462,0.893264
90001,80175,0.890823
100001,86842,0.868411
110001,93585,0.850765
120001,100140,0.834493
130001,106986,0.822963
140001,133847,0.956043
150001,136262,0.908407
160001,147091,0.919313
170001,153694,0.904077
180001,159641,0.88689
190001,167138,0.879669
200001,173841,0.869201
210001,180555,0.859782
220001,187146,0.85066
230001,193806,0.842631
240001,200654,0.836055
250001,207204,0.828813
260001,213929,0.822801
270001,261089,0.966993
280001,258735,0.92405
290001,265928,0.91699
300001,270461,0.901534
310001,279612,0.901971
320001,286199,0.894369
330001,291940,0.884664
340001,299994,0.882333
350001,306687,0.876246
360001,312047,0.866795
370001,318602,0.861084
380001,328249,0.863811
390001,332517,0.852606
400001,338921,0.8473
410001,347141,0.846683
420001,352875,0.840177
430001,360594,0.838589
440001,367242,0.834639
450001,372693,0.828205
460001,381167,0.828622
470001,387827,0.825162
480001,394532,0.82194
490001,401196,0.818766
500001,408505,0.817008
