Size n,Time(microseconds):,Ratio:
10002,28130,2.81244
20002,30618,1.53075
30002,42035,1.40107
40002,58903,1.4725
50002,71387,1.42768
60002,82340,1.37229
70002,106364,1.51944
80002,119666,1.49579
90002,128072,1.42299
100002,138202,1.38199
110002,150753,1.37046
120002,162748,1.35621
130002,179166,1.37818
140002,210544,1.50386
150002,230522,1.53679
160002,237741,1.48586
170002,249120,1.46539
180002,262072,1.45594
190002,274145,1.44285
200002,286725,1.43361
210002,300301,1.42999
220002,312471,1.42031
230002,323396,1.40606
240002,337344,1.40559
250002,353872,1.41548
260002,364736,1.40282
270002,425153,1.57463
280002,433024,1.5465
290002,443950,1.53085
300002,458202,1.52733
310002,471102,1.51967
320002,483640,1.51137
330002,496023,1.50309
340002,507356,1.49221
350002,519702,1.48485
360002,532367,1.47879
370002,547497,1.47971
380002,557737,1.46772
390002,570779,1.46353
400002,584335,1.46083
410002,597147,1.45645
420002,608045,1.44772
430002,620938,1.44404
440002,633196,1.43908
450002,646157,1.4359
460002,658398,1.43129
470002,671084,1.42783
480002,683102,1.42312
490002,686600,1.40122
500002,693540,1.38707
