Size n,Time(microseconds):,Ratio:
10002,21194,2.11898
20002,24287,1.21423
30002,30889,1.02956
40002,45353,1.13377
50002,53162,1.0632
60002,63276,1.05456
70002,82418,1.17737
80002,88681,1.10848
90002,100032,1.11144
100002,108678,1.08676
110002,117606,1.06913
120002,126432,1.05358
130002,135601,1.04307
140002,164693,1.17636
150002,168198,1.12131
160002,181443,1.134
170002,191411,1.12593
180002,199814,1.11007
190002,208883,1.09937
200002,217373,1.08685
210002,226261,1.07742
220002,233099,1.05953
230002,244172,1.06161
240002,252911,1.05379
250002,260934,1.04373
260002,270225,1.03932
270002,318838,1.18087
280002,319461,1.14092
290002,327066,1.12781
300002,334958,1.11652
310002,345197,1.11353
320002,354156,1.10673
330002,364010,1.10305
340002,369894,1.08792
350002,379708,1.08487
360002,390096,1.08359
370002,395887,1.06996
380002,406460,1.06963
390002,417454,1.07039
400002,422746,1.05686
410002,433765,1.05796
420002,439489,1.0464
430002,450939,1.04869
440002,458622,1.04232
450002,468147,1.04032
460002,476148,1.0351
470002,486866,1.03588
480002,493781,1.02871
490002,505871,1.03239
500002,511111,1.02222
